USC00461393,"CANAAN VALLEY, WV US",10/31/1955,,,,,0,0,0,43,23,39,
USC00461393,"CANAAN VALLEY, WV US",11/1/1955,,,,,0,0,0,60,23,52,
USC00461393,"CANAAN VALLEY, WV US",11/2/1955,,,,,0.06,0,0,59,31,53,
USC00461393,"CANAAN VALLEY, WV US",11/3/1955,,,,,0.11,0,0,53,30,30,
USC00461393,"CANAAN VALLEY, WV US",11/4/1955,,,,,0,0,0,34,26,25,
USC00461393,"CANAAN VALLEY, WV US",11/5/1955,,,,,0,0,0,34,22,30,
USC00461393,"CANAAN VALLEY, WV US",11/6/1955,,,,,0,0,0,56,13,50,
USC00461393,"CANAAN VALLEY, WV US",11/7/1955,,,,,0.13,0,0,50,35,36,
USC00461393,"CANAAN VALLEY, WV US",11/8/1955,,,,,0,0,0,36,20,29,
USC00461393,"CANAAN VALLEY, WV US",11/9/1955,,,,,0,0,0,35,24,33,
USC00461393,"CANAAN VALLEY, WV US",11/10/1955,,,,,0.8,8,8,40,16,30,
USC00461393,"CANAAN VALLEY, WV US",11/11/1955,,,,,0,0,6,48,29,46,
USC00461393,"CANAAN VALLEY, WV US",11/12/1955,,,,,0,0,0,58,40,52,
USC00461393,"CANAAN VALLEY, WV US",11/13/1955,,,,,0,0,0,65,38,58,
USC00461393,"CANAAN VALLEY, WV US",11/14/1955,,,,,0.33,0,0,58,45,50,
USC00461393,"CANAAN VALLEY, WV US",11/15/1955,,,,,0.24,0,0,59,32,54,
USC00461393,"CANAAN VALLEY, WV US",11/16/1955,,,,,0.38,0,0,68,54,65,
USC00461393,"CANAAN VALLEY, WV US",11/17/1955,,,,,0,0,0,65,19,22,
USC00461393,"CANAAN VALLEY, WV US",11/18/1955,,,,,0,0,0,34,15,31,
USC00461393,"CANAAN VALLEY, WV US",11/19/1955,,,,,0.6,6,6,34,26,24,
USC00461393,"CANAAN VALLEY, WV US",11/20/1955,,,,,0.4,4,10,35,20,23,
USC00461393,"CANAAN VALLEY, WV US",11/21/1955,,,,,0,0,5,41,20,37,
USC00461393,"CANAAN VALLEY, WV US",11/22/1955,,,,,0,0,5,54,20,50,
USC00461393,"CANAAN VALLEY, WV US",11/23/1955,,,,,0.08,0,2,54,38,53,
USC00461393,"CANAAN VALLEY, WV US",11/24/1955,,,,,0,0,0,53,24,33,
USC00461393,"CANAAN VALLEY, WV US",11/25/1955,,,,,0,0,0,40,17,37,
USC00461393,"CANAAN VALLEY, WV US",11/26/1955,,,,,0.05,0.5,1,40,21,28,
USC00461393,"CANAAN VALLEY, WV US",11/27/1955,,,,,0,0,0,47,19,45,
USC00461393,"CANAAN VALLEY, WV US",11/28/1955,,,,,0.05,0.5,1,42,8,8,
USC00461393,"CANAAN VALLEY, WV US",11/29/1955,,,,,0.05,0.5,1,12,2,10,
USC00461393,"CANAAN VALLEY, WV US",11/30/1955,,,,,0.1,1,2,15,2,10,
USC00461393,"CANAAN VALLEY, WV US",12/1/1955,,,,,0,0,4,,,,
USC00461393,"CANAAN VALLEY, WV US",12/2/1955,,,,,0.62,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/3/1955,,,,,0.1,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/4/1955,,,,,0.38,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/5/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/6/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/7/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/8/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/9/1955,,,,,0.4,4,4,,,,
USC00461393,"CANAAN VALLEY, WV US",12/10/1955,,,,,,16,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/11/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/12/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/13/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/14/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/15/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/16/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/17/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/18/1955,,,,,0,0,20,,,,
USC00461393,"CANAAN VALLEY, WV US",12/19/1955,,,,,0.05,0.5,21,,,,
USC00461393,"CANAAN VALLEY, WV US",12/20/1955,,,,,0,0,21,,,,
USC00461393,"CANAAN VALLEY, WV US",12/21/1955,,,,,0,0,21,,,,
USC00461393,"CANAAN VALLEY, WV US",12/22/1955,,,,,0,0,21,,,,
USC00461393,"CANAAN VALLEY, WV US",12/23/1955,,,,,0,0,16,,,,
USC00461393,"CANAAN VALLEY, WV US",12/24/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/25/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/26/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/27/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/28/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/29/1955,,,,,0.14,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",12/30/1955,,,,,0.05,0.5,1,,,,
USC00461393,"CANAAN VALLEY, WV US",12/31/1955,,,,,0,0,0,,,,
USC00461393,"CANAAN VALLEY, WV US",1/1/1956,,,,,0,0,0,38,,,
USC00461393,"CANAAN VALLEY, WV US",1/2/1956,,,,,0,0,0,40,,,
USC00461393,"CANAAN VALLEY, WV US",1/3/1956,,,,,0,0,0,35,,,
USC00461393,"CANAAN VALLEY, WV US",1/4/1956,,,,,0,0,0,35,,,
USC00461393,"CANAAN VALLEY, WV US",1/5/1956,,,,,0,0,0,30,,,
USC00461393,"CANAAN VALLEY, WV US",1/6/1956,,,,,0,0,0,40,,,
USC00461393,"CANAAN VALLEY, WV US",1/7/1956,,,,,0.2,2,2,20,,,
USC00461393,"CANAAN VALLEY, WV US",1/8/1956,,,,,0.3,3,5,10,,,
USC00461393,"CANAAN VALLEY, WV US",1/9/1956,,,,,0.3,3,8,,,,
USC00461393,"CANAAN VALLEY, WV US",1/10/1956,,,,,0.2,2,,20,,,
USC00461393,"CANAAN VALLEY, WV US",1/11/1956,,,,,0.2,2,10,30,,,
USC00461393,"CANAAN VALLEY, WV US",1/12/1956,,,,,0.05,0.5,10,35,,,
USC00461393,"CANAAN VALLEY, WV US",1/13/1956,,,,,0,0,10,21,,,
USC00461393,"CANAAN VALLEY, WV US",1/14/1956,,,,,0,0,10,20,,,
USC00461393,"CANAAN VALLEY, WV US",1/15/1956,,,,,0,0,10,37,,,
USC00461393,"CANAAN VALLEY, WV US",1/16/1956,,,,,0.05,0.5,10,35,,,
USC00461393,"CANAAN VALLEY, WV US",1/17/1956,,,,,0.4,4,14,19,,,
USC00461393,"CANAAN VALLEY, WV US",1/18/1956,,,,,0,0,14,30,,,
USC00461393,"CANAAN VALLEY, WV US",1/19/1956,,,,,0.05,0.5,14,33,,,
USC00461393,"CANAAN VALLEY, WV US",1/20/1956,,,,,0.05,0.5,15,29,,,
USC00461393,"CANAAN VALLEY, WV US",1/21/1956,,,,,0,0,,23,,,
USC00461393,"CANAAN VALLEY, WV US",1/22/1956,,,,,0,0,,33,,,
USC00461393,"CANAAN VALLEY, WV US",1/23/1956,,,,,0,0,,29,,,
USC00461393,"CANAAN VALLEY, WV US",1/24/1956,,,,,0,0,,18,,,
USC00461393,"CANAAN VALLEY, WV US",1/25/1956,,,,,0,0,,26,,,
USC00461393,"CANAAN VALLEY, WV US",1/26/1956,,,,,0,0,,25,,,
USC00461393,"CANAAN VALLEY, WV US",1/27/1956,,,,,0,0,,33,,,
USC00461393,"CANAAN VALLEY, WV US",1/28/1956,,,,,0,0,,43,,,
USC00461393,"CANAAN VALLEY, WV US",1/29/1956,,,,,0,0,,43,,,
USC00461393,"CANAAN VALLEY, WV US",1/30/1956,,,,,0.46,0,,45,,,
USC00461393,"CANAAN VALLEY, WV US",1/31/1956,,,,,0.2,2,,25,,,
USC00461393,"CANAAN VALLEY, WV US",2/1/1956,,,,,0,0,0,38,21,34,
USC00461393,"CANAAN VALLEY, WV US",2/2/1956,,,,,0.26,0,0,42,34,41,
USC00461393,"CANAAN VALLEY, WV US",2/3/1956,,,,,0.11,0,0,43,24,38,
USC00461393,"CANAAN VALLEY, WV US",2/4/1956,,,,,0.43,0,0,44,24,43,
USC00461393,"CANAAN VALLEY, WV US",2/5/1956,,,,,0.1,0,0,44,10,41,
USC00461393,"CANAAN VALLEY, WV US",2/6/1956,,,,,0.68,0,0,44,24,24,
USC00461393,"CANAAN VALLEY, WV US",2/7/1956,,,,,0.3,0.5,1,43,23,40,
USC00461393,"CANAAN VALLEY, WV US",2/8/1956,,,,,0,0,0,58,18,43,
USC00461393,"CANAAN VALLEY, WV US",2/9/1956,,,,,0,0,0,53,31,51,
USC00461393,"CANAAN VALLEY, WV US",2/10/1956,,,,,0,0,0,56,32,54,
USC00461393,"CANAAN VALLEY, WV US",2/11/1956,,,,,0.18,0,0,54,30,52,
USC00461393,"CANAAN VALLEY, WV US",2/12/1956,,,,,0.04,0.3,0,52,24,30,
USC00461393,"CANAAN VALLEY, WV US",2/13/1956,,,,,0.05,0.5,0,32,23,30,
USC00461393,"CANAAN VALLEY, WV US",2/14/1956,,,,,0.05,0.5,1,43,14,39,
USC00461393,"CANAAN VALLEY, WV US",2/15/1956,,,,,0.47,0,0,50,34,43,
USC00461393,"CANAAN VALLEY, WV US",2/16/1956,,,,,0,0,0,53,19,50,
USC00461393,"CANAAN VALLEY, WV US",2/17/1956,,,,,0.29,0,0,59,29,54,
USC00461393,"CANAAN VALLEY, WV US",2/18/1956,,,,,0.8,0,0,53,43,39,
USC00461393,"CANAAN VALLEY, WV US",2/19/1956,,,,,0,0,0,53,29,40,
USC00461393,"CANAAN VALLEY, WV US",2/20/1956,,,,,0.04,0,0,48,23,28,
USC00461393,"CANAAN VALLEY, WV US",2/21/1956,,,,,0.3,3,,29,11,20,
USC00461393,"CANAAN VALLEY, WV US",2/22/1956,,,,,0.05,0.5,1,18,4,14,
USC00461393,"CANAAN VALLEY, WV US",2/23/1956,,,,,0.1,1,2,23,10,20,
USC00461393,"CANAAN VALLEY, WV US",2/24/1956,,,,,0.18,0,0,48,0,40,
USC00461393,"CANAAN VALLEY, WV US",2/25/1956,,,,,0.88,0,0,53,14,30,
USC00461393,"CANAAN VALLEY, WV US",2/26/1956,,,,,0,0,0,44,4,39,
USC00461393,"CANAAN VALLEY, WV US",2/27/1956,,,,,0,0,0,53,30,49,
USC00461393,"CANAAN VALLEY, WV US",2/28/1956,,,,,0.4,2,2,49,14,25,
USC00461393,"CANAAN VALLEY, WV US",2/29/1956,,,,,0.05,0.5,2,23,10,23,
USC00461393,"CANAAN VALLEY, WV US",3/1/1956,,,,,0,0,0,54,0,39,
USC00461393,"CANAAN VALLEY, WV US",3/2/1956,,,,,0.18,0,0,49,15,40,
USC00461393,"CANAAN VALLEY, WV US",3/3/1956,,,,,0.02,0,0,54,27,39,
USC00461393,"CANAAN VALLEY, WV US",3/4/1956,,,,,0,0,0,48,26,43,
USC00461393,"CANAAN VALLEY, WV US",3/5/1956,,,,,0,0,0,64,31,58,
USC00461393,"CANAAN VALLEY, WV US",3/6/1956,,,,,0.25,0,0,66,40,58,
USC00461393,"CANAAN VALLEY, WV US",3/7/1956,,,,,0.38,0,0,63,45,53,
USC00461393,"CANAAN VALLEY, WV US",3/8/1956,,,,,0.38,2,2,53,11,19,
USC00461393,"CANAAN VALLEY, WV US",3/9/1956,,,,,0,0,0,46,11,43,
USC00461393,"CANAAN VALLEY, WV US",3/10/1956,,,,,0,0,0,54,11,51,
USC00461393,"CANAAN VALLEY, WV US",3/11/1956,,,,,0.07,0,0,57,21,46,
USC00461393,"CANAAN VALLEY, WV US",3/12/1956,,,,,0,0.5,0,53,21,35,
USC00461393,"CANAAN VALLEY, WV US",3/13/1956,,,,,0.38,2,2,38,20,33,
USC00461393,"CANAAN VALLEY, WV US",3/14/1956,,,,,0.92,0,0,54,28,32,
USC00461393,"CANAAN VALLEY, WV US",3/15/1956,,,,,0,0,0,38,23,35,
USC00461393,"CANAAN VALLEY, WV US",3/16/1956,,,,,0,2,2,44,23,,
USC00461393,"CANAAN VALLEY, WV US",3/17/1956,,,,,0,6,8,34,10,27,
USC00461393,"CANAAN VALLEY, WV US",3/18/1956,,,,,0,4,12,32,20,23,
USC00461393,"CANAAN VALLEY, WV US",3/19/1956,,,,,0,0.5,12,24,10,22,
USC00461393,"CANAAN VALLEY, WV US",3/20/1956,,,,,0,0,12,34,4,28,
USC00461393,"CANAAN VALLEY, WV US",3/21/1956,,,,,0,0,8,44,6,40,
USC00461393,"CANAAN VALLEY, WV US",3/22/1956,,,,,0,0,8,44,17,38,
USC00461393,"CANAAN VALLEY, WV US",3/23/1956,,,,,0,0,6,54,23,,
USC00461393,"CANAAN VALLEY, WV US",3/24/1956,,,,,0,0.5,4,44,23,24,
USC00461393,"CANAAN VALLEY, WV US",3/25/1956,,,,,0,0,3,33,10,29,
USC00461393,"CANAAN VALLEY, WV US",3/26/1956,,,,,1.19,3,3,44,25,41,
USC00461393,"CANAAN VALLEY, WV US",3/27/1956,,,,,0,0,0,53,17,,
USC00461393,"CANAAN VALLEY, WV US",3/28/1956,,,,,0.28,0,0,44,30,33,
USC00461393,"CANAAN VALLEY, WV US",3/29/1956,,,,,0.58,0.5,0,57,30,53,
USC00461393,"CANAAN VALLEY, WV US",3/30/1956,,,,,0,0,0,53,23,30,
USC00461393,"CANAAN VALLEY, WV US",3/31/1956,,,,,0,0,0,33,23,20,
USC00461393,"CANAAN VALLEY, WV US",4/1/1956,,,,,0,0,0,59,15,53,
USC00461393,"CANAAN VALLEY, WV US",4/2/1956,,,,,0.38,0,0,59,35,53,
USC00461393,"CANAAN VALLEY, WV US",4/3/1956,,,,,0.24,0,0,69,48,60,
USC00461393,"CANAAN VALLEY, WV US",4/4/1956,,,,,0,0,0,68,50,60,
USC00461393,"CANAAN VALLEY, WV US",4/5/1956,,,,,0,0,0,61,37,58,
USC00461393,"CANAAN VALLEY, WV US",4/6/1956,,,,,0.84,0,0,58,30,43,
USC00461393,"CANAAN VALLEY, WV US",4/7/1956,,,,,0.92,0,0,42,31,31,
USC00461393,"CANAAN VALLEY, WV US",4/8/1956,,,,,0.3,3,3,29,20,25,
USC00461393,"CANAAN VALLEY, WV US",4/9/1956,,,,,0,0,0,43,21,39,
USC00461393,"CANAAN VALLEY, WV US",4/10/1956,,,,,0,0,0,56,20,53,
USC00461393,"CANAAN VALLEY, WV US",4/11/1956,,,,,0,0,0,51,33,41,
USC00461393,"CANAAN VALLEY, WV US",4/12/1956,,,,,0,0,0,59,23,53,
USC00461393,"CANAAN VALLEY, WV US",4/13/1956,,,,,0,0,0,55,30,45,
USC00461393,"CANAAN VALLEY, WV US",4/14/1956,,,,,0,0,0,64,30,55,
USC00461393,"CANAAN VALLEY, WV US",4/15/1956,,,,,0.2,0,0,63,40,53,
USC00461393,"CANAAN VALLEY, WV US",4/16/1956,,,,,0.18,0,0,54,30,30,
USC00461393,"CANAAN VALLEY, WV US",4/17/1956,,,,,0.11,1,1,38,23,32,
USC00461393,"CANAAN VALLEY, WV US",4/18/1956,,,,,0.1,1,2,33,23,28,
USC00461393,"CANAAN VALLEY, WV US",4/19/1956,,,,,0.1,1,0,56,23,53,
USC00461393,"CANAAN VALLEY, WV US",4/20/1956,,,,,0.05,0.5,0,53,23,38,
USC00461393,"CANAAN VALLEY, WV US",4/21/1956,,,,,0,0,0,55,28,53,
USC00461393,"CANAAN VALLEY, WV US",4/22/1956,,,,,0,0,0,59,43,57,
USC00461393,"CANAAN VALLEY, WV US",4/23/1956,,,,,0.05,0.5,0,57,25,45,
USC00461393,"CANAAN VALLEY, WV US",4/24/1956,,,,,0.28,0,0,45,25,33,
USC00461393,"CANAAN VALLEY, WV US",4/25/1956,,,,,0,0,0,53,16,50,
USC00461393,"CANAAN VALLEY, WV US",4/26/1956,,,,,0.05,0,0,63,43,52,
USC00461393,"CANAAN VALLEY, WV US",4/27/1956,,,,,0,0,0,78,33,73,
USC00461393,"CANAAN VALLEY, WV US",4/28/1956,,,,,0,0,0,79,54,73,
USC00461393,"CANAAN VALLEY, WV US",4/29/1956,,,,,0.04,0,0,79,50,73,
USC00461393,"CANAAN VALLEY, WV US",4/30/1956,,,,,0.1,0,0,73,52,54,
USC00461393,"CANAAN VALLEY, WV US",5/1/1956,,,,,0,0,0,69,38,63,
USC00461393,"CANAAN VALLEY, WV US",5/2/1956,,,,,0.14,0,0,68,46,54,
USC00461393,"CANAAN VALLEY, WV US",5/3/1956,,,,,0.14,0,0,64,48,59,
USC00461393,"CANAAN VALLEY, WV US",5/4/1956,,,,,0,0,0,67,32,48,
USC00461393,"CANAAN VALLEY, WV US",5/5/1956,,,,,0,0,0,70,25,62,
USC00461393,"CANAAN VALLEY, WV US",5/6/1956,,,,,0,0,0,79,44,,
USC00461393,"CANAAN VALLEY, WV US",5/7/1956,,,,,1.45,0,0,70,44,52,
USC00461393,"CANAAN VALLEY, WV US",5/8/1956,,,,,0,0,0,54,24,50,
USC00461393,"CANAAN VALLEY, WV US",5/9/1956,,,,,0,0,0,73,25,68,
USC00461393,"CANAAN VALLEY, WV US",5/10/1956,,,,,0.35,0,0,69,52,64,
USC00461393,"CANAAN VALLEY, WV US",5/11/1956,,,,,0.1,0,0,79,50,73,
USC00461393,"CANAAN VALLEY, WV US",5/12/1956,,,,,0.4,0,0,70,59,64,
USC00461393,"CANAAN VALLEY, WV US",5/13/1956,,,,,0,0,0,79,63,77,
USC00461393,"CANAAN VALLEY, WV US",5/14/1956,,,,,0,0,0,77,54,73,
USC00461393,"CANAAN VALLEY, WV US",5/15/1956,,,,,0.14,0,0,73,43,54,
USC00461393,"CANAAN VALLEY, WV US",5/16/1956,,,,,0.4,0,0,52,44,,
USC00461393,"CANAAN VALLEY, WV US",5/17/1956,,,,,0.14,0,0,57,25,53,
USC00461393,"CANAAN VALLEY, WV US",5/18/1956,,,,,0.6,0,0,72,34,64,
USC00461393,"CANAAN VALLEY, WV US",5/19/1956,,,,,0.4,0,0,70,37,64,
USC00461393,"CANAAN VALLEY, WV US",5/20/1956,,,,,0,0,0,69,27,64,
USC00461393,"CANAAN VALLEY, WV US",5/21/1956,,,,,0,0,0,76,30,74,
USC00461393,"CANAAN VALLEY, WV US",5/22/1956,,,,,0.3,0,0,74,45,64,
USC00461393,"CANAAN VALLEY, WV US",5/23/1956,,,,,0.3,0,0,64,52,52,
USC00461393,"CANAAN VALLEY, WV US",5/24/1956,,,,,0,0,0,57,30,52,
USC00461393,"CANAAN VALLEY, WV US",5/25/1956,,,,,0,0,0,66,30,62,
USC00461393,"CANAAN VALLEY, WV US",5/26/1956,,,,,0,0,0,74,37,68,
USC00461393,"CANAAN VALLEY, WV US",5/27/1956,,,,,2,0,0,67,42,42,
USC00461393,"CANAAN VALLEY, WV US",5/28/1956,,,,,1.7,0,0,69,41,41,
USC00461393,"CANAAN VALLEY, WV US",5/29/1956,,,,,0,0,0,75,44,68,
USC00461393,"CANAAN VALLEY, WV US",5/30/1956,,,,,0,0,0,77,54,72,
USC00461393,"CANAAN VALLEY, WV US",5/31/1956,,,,,0.04,0,0,79,62,74,
USC00461393,"CANAAN VALLEY, WV US",6/1/1956,,,,,0.82,0,0,72,50,51,
USC00461393,"CANAAN VALLEY, WV US",6/2/1956,,,,,0.6,0,0,57,41,,
USC00461393,"CANAAN VALLEY, WV US",6/3/1956,,,,,0.48,0,0,52,39,41,
USC00461393,"CANAAN VALLEY, WV US",6/4/1956,,,,,0.02,0,0,65,37,60,
USC00461393,"CANAAN VALLEY, WV US",6/5/1956,,,,,0,0,0,68,34,62,
USC00461393,"CANAAN VALLEY, WV US",6/6/1956,,,,,0,0,0,74,37,70,
USC00461393,"CANAAN VALLEY, WV US",6/7/1956,,,,,0,0,0,72,39,57,
USC00461393,"CANAAN VALLEY, WV US",6/8/1956,,,,,0,0,0,75,40,72,
USC00461393,"CANAAN VALLEY, WV US",6/9/1956,,,,,0,0,0,76,46,70,
USC00461393,"CANAAN VALLEY, WV US",6/10/1956,,,,,0,0,0,76,44,74,
USC00461393,"CANAAN VALLEY, WV US",6/11/1956,,,,,0,0,0,76,44,72,
USC00461393,"CANAAN VALLEY, WV US",6/12/1956,,,,,0,0,0,79,44,70,
USC00461393,"CANAAN VALLEY, WV US",6/13/1956,,,,,0.29,0,0,84,48,61,
USC00461393,"CANAAN VALLEY, WV US",6/14/1956,,,,,1.1,0,0,82,49,61,
USC00461393,"CANAAN VALLEY, WV US",6/15/1956,,,,,0.11,0,0,79,48,74,
USC00461393,"CANAAN VALLEY, WV US",6/16/1956,,,,,0.02,0,0,78,56,76,
USC00461393,"CANAAN VALLEY, WV US",6/17/1956,,,,,0.14,0,0,79,53,61,
USC00461393,"CANAAN VALLEY, WV US",6/18/1956,,,,,0.64,0,0,69,59,61,
USC00461393,"CANAAN VALLEY, WV US",6/19/1956,,,,,0.14,0,0,69,50,61,
USC00461393,"CANAAN VALLEY, WV US",6/20/1956,,,,,0,0,0,72,47,70,
USC00461393,"CANAAN VALLEY, WV US",6/21/1956,,,,,0.48,0,0,73,57,71,
USC00461393,"CANAAN VALLEY, WV US",6/22/1956,,,,,0,0,0,80,63,63,
USC00461393,"CANAAN VALLEY, WV US",6/23/1956,,,,,0,0,0,81,62,61,
USC00461393,"CANAAN VALLEY, WV US",6/24/1956,,,,,0.43,0,0,79,59,72,
USC00461393,"CANAAN VALLEY, WV US",6/25/1956,,,,,0.48,0,0,73,53,71,
USC00461393,"CANAAN VALLEY, WV US",6/26/1956,,,,,0,0,0,79,47,71,
USC00461393,"CANAAN VALLEY, WV US",6/27/1956,,,,,0.72,0,0,73,60,70,
USC00461393,"CANAAN VALLEY, WV US",6/28/1956,,,,,0.19,0,0,71,61,61,
USC00461393,"CANAAN VALLEY, WV US",6/29/1956,,,,,0,0,0,77,37,61,
USC00461393,"CANAAN VALLEY, WV US",6/30/1956,,,,,0,0,0,82,43,79,
USC00461393,"CANAAN VALLEY, WV US",7/1/1956,,,,,0,0,0,83,59,81,
USC00461393,"CANAAN VALLEY, WV US",7/2/1956,,,,,0,0,0,83,62,71,
USC00461393,"CANAAN VALLEY, WV US",7/3/1956,,,,,0,0,0,83,58,79,
USC00461393,"CANAAN VALLEY, WV US",7/4/1956,,,,,0.24,0,0,82,59,72,
USC00461393,"CANAAN VALLEY, WV US",7/5/1956,,,,,0.41,0,0,83,60,71,
USC00461393,"CANAAN VALLEY, WV US",7/6/1956,,,,,0.74,0,0,74,60,70,
USC00461393,"CANAAN VALLEY, WV US",7/7/1956,,,,,0,0,0,78,49,70,
USC00461393,"CANAAN VALLEY, WV US",7/8/1956,,,,,0.66,0,0,75,47,69,
USC00461393,"CANAAN VALLEY, WV US",7/9/1956,,,,,0.42,0,0,73,59,70,
USC00461393,"CANAAN VALLEY, WV US",7/10/1956,,,,,0.04,0,0,72,53,59,
USC00461393,"CANAAN VALLEY, WV US",7/11/1956,,,,,0,0,0,72,50,61,
USC00461393,"CANAAN VALLEY, WV US",7/12/1956,,,,,0,0,0,75,42,69,
USC00461393,"CANAAN VALLEY, WV US",7/13/1956,,,,,0.34,0,0,73,53,61,
USC00461393,"CANAAN VALLEY, WV US",7/14/1956,,,,,0.28,0,0,69,61,61,
USC00461393,"CANAAN VALLEY, WV US",7/15/1956,,,,,0,0,0,75,49,60,
USC00461393,"CANAAN VALLEY, WV US",7/16/1956,,,,,0.28,0,0,73,58,60,
USC00461393,"CANAAN VALLEY, WV US",7/17/1956,,,,,0.38,0,0,73,59,61,
USC00461393,"CANAAN VALLEY, WV US",7/18/1956,,,,,0.18,0,0,71,50,60,
USC00461393,"CANAAN VALLEY, WV US",7/19/1956,,,,,0,0,0,78,51,72,
USC00461393,"CANAAN VALLEY, WV US",7/20/1956,,,,,0,0,0,73,57,70,
USC00461393,"CANAAN VALLEY, WV US",7/21/1956,,,,,0.14,0,0,78,53,70,
USC00461393,"CANAAN VALLEY, WV US",7/22/1956,,,,,0.25,0,0,79,49,76,
USC00461393,"CANAAN VALLEY, WV US",7/23/1956,,,,,0.25,0,0,77,56,74,
USC00461393,"CANAAN VALLEY, WV US",7/24/1956,,,,,0.44,0,0,74,58,64,
USC00461393,"CANAAN VALLEY, WV US",7/25/1956,,,,,0,0,0,74,56,69,
USC00461393,"CANAAN VALLEY, WV US",7/26/1956,,,,,0,0,0,82,49,69,
USC00461393,"CANAAN VALLEY, WV US",7/27/1956,,,,,0.84,0,0,82,59,74,
USC00461393,"CANAAN VALLEY, WV US",7/28/1956,,,,,0.41,0,0,77,60,74,
USC00461393,"CANAAN VALLEY, WV US",7/29/1956,,,,,0.27,0,0,75,56,60,
USC00461393,"CANAAN VALLEY, WV US",7/30/1956,,,,,0,0,0,66,48,64,
USC00461393,"CANAAN VALLEY, WV US",7/31/1956,,,,,0,0,0,82,42,74,
USC00461393,"CANAAN VALLEY, WV US",8/1/1956,,,,,0,0,0,78,57,69,
USC00461393,"CANAAN VALLEY, WV US",8/2/1956,,,,,0.44,0,0,68,59,64,
USC00461393,"CANAAN VALLEY, WV US",8/3/1956,,,,,0,0,0,73,53,61,
USC00461393,"CANAAN VALLEY, WV US",8/4/1956,,,,,0,0,0,74,57,69,
USC00461393,"CANAAN VALLEY, WV US",8/5/1956,,,,,2.94,0,0,74,55,70,
USC00461393,"CANAAN VALLEY, WV US",8/6/1956,,,,,3.29,0,0,73,58,61,
USC00461393,"CANAAN VALLEY, WV US",8/7/1956,,,,,0.04,0,0,70,59,68,
USC00461393,"CANAAN VALLEY, WV US",8/8/1956,,,,,0,0,0,75,56,71,
USC00461393,"CANAAN VALLEY, WV US",8/9/1956,,,,,0,0,0,82,49,79,
USC00461393,"CANAAN VALLEY, WV US",8/10/1956,,,,,0,0,0,79,62,69,
USC00461393,"CANAAN VALLEY, WV US",8/11/1956,,,,,0,0,0,78,48,61,
USC00461393,"CANAAN VALLEY, WV US",8/12/1956,,,,,0,0,0,79,49,76,
USC00461393,"CANAAN VALLEY, WV US",8/13/1956,,,,,0.14,0,0,79,55,75,
USC00461393,"CANAAN VALLEY, WV US",8/14/1956,,,,,0.62,0,0,78,58,68,
USC00461393,"CANAAN VALLEY, WV US",8/15/1956,,,,,0,0,0,77,53,69,
USC00461393,"CANAAN VALLEY, WV US",8/16/1956,,,,,0,0,0,73,46,63,
USC00461393,"CANAAN VALLEY, WV US",8/17/1956,,,,,0,0,0,79,46,69,
USC00461393,"CANAAN VALLEY, WV US",8/18/1956,,,,,0,0,0,84,49,74,
USC00461393,"CANAAN VALLEY, WV US",8/19/1956,,,,,0,0,0,78,64,69,
USC00461393,"CANAAN VALLEY, WV US",8/20/1956,,,,,1.19,0,0,69,51,62,
USC00461393,"CANAAN VALLEY, WV US",8/21/1956,,,,,0.47,0,0,67,47,61,
USC00461393,"CANAAN VALLEY, WV US",8/22/1956,,,,,0,0,0,68,48,58,
USC00461393,"CANAAN VALLEY, WV US",8/23/1956,,,,,0,0,0,77,41,74,
USC00461393,"CANAAN VALLEY, WV US",8/24/1956,,,,,0.08,0,0,76,53,58,
USC00461393,"CANAAN VALLEY, WV US",8/25/1956,,,,,0,0,0,69,36,67,
USC00461393,"CANAAN VALLEY, WV US",8/26/1956,,,,,0,0,0,76,42,70,
